                       country    confirmed     deaths          continent
0                United States  111,820,082  1,219,487      North America
1                        India   45,035,393    533,570               Asia
2                       France   40,138,560    167,642             Europe
3                      Germany   38,828,995    183,027             Europe
4                       Brazil   38,743,918    711,380      South America
5                  South Korea   34,571,873     35,934               Asia
6    Japan (+Diamond Princess)   33,804,284     74,707               Asia
7                        Italy   26,723,249    196,487             Europe
8               United Kingdom   24,910,387    232,112             Europe
9                       Russia   24,124,215    402,756             Europe
10                      Turkey   17,232,066    102,174               Asia
11                       Spain   13,914,811    121,760             Europe
12                   Australia   11,853,144     24,414  Australia/Oceania
13                     Vietnam   11,625,195     43,206               Asia
14                      Taiwan   10,241,523     19,005               Asia
15                   Argentina   10,128,845    130,841      South America
16                 Netherlands    8,635,786     22,992             Europe
17                      Mexico    7,702,809    334,958      North America
18                        Iran    7,627,186    146,811               Asia
19                   Indonesia    6,829,221    162,063               Asia
20                      Poland    6,661,991    120,598             Europe
21                    Colombia    6,400,173    143,200      South America
22                      Greece    6,101,379     37,869             Europe
23                     Austria    6,081,287     22,542             Europe
24                    Portugal    5,643,062     28,126             Europe
25                     Ukraine    5,557,995    112,418             Europe
26                       Chile    5,384,853     64,497      South America
27                    Malaysia    5,278,406     37,348               Asia
28                      Canada    4,946,090     59,034      North America
29                     Belgium    4,861,695     34,376             Europe
30                      Israel    4,841,772     12,707               Asia
31                 North Korea    4,772,813         74               Asia
32                    Thailand    4,770,149     34,586               Asia
33    Czech Republic (Czechia)    4,759,041     43,517             Europe
34                        Peru    4,572,667    222,161      South America
35                 Switzerland    4,453,053     14,452             Europe
36                 Philippines    4,140,383     66,864               Asia
37                South Africa    4,076,463    102,595             Africa
38                     Romania    3,529,735     68,929             Europe
39                     Denmark    3,183,756      8,814             Europe
40                   Singapore    3,006,155      2,024               Asia
41                   Hong Kong    2,937,609     14,924               Asia
42                      Sweden    2,754,129     27,407             Europe
43                 New Zealand    2,621,111      5,697  Australia/Oceania
44                      Serbia    2,615,054     18,057             Europe
45                        Iraq    2,465,545     25,375               Asia
46                     Hungary    2,230,232     49,048             Europe
47                  Bangladesh    2,049,377     29,493               Asia
48                    Slovakia    1,877,605     21,224             Europe
49                     Georgia    1,861,665     17,132               Asia
50                      Jordan    1,746,997     14,122               Asia
51                     Ireland    1,734,582      9,491             Europe
52                    Pakistan    1,581,936     30,664               Asia
53                     Finland    1,516,117     11,958             Europe
54                      Norway    1,509,732      6,638             Europe
55                  Kazakhstan    1,411,831     13,848               Asia
56                   Lithuania    1,397,806      9,897             Europe
57                    Slovenia    1,356,546      7,100             Europe
58                    Bulgaria    1,339,851     38,748             Europe
59                     Croatia    1,309,728     18,687             Europe
60                   Guatemala    1,291,293     20,289      North America
61                     Morocco    1,278,992     16,303             Africa
62                     Lebanon    1,243,838     10,952               Asia
63                  Costa Rica    1,238,883      9,428      North America
64                     Bolivia    1,212,131     22,407      South America
65                     Tunisia    1,153,361     29,423             Africa
66                        Cuba    1,115,251      8,530      North America
67                     Ecuador    1,070,188     36,043      South America
68        United Arab Emirates    1,067,030      2,349               Asia
69                      Panama    1,059,893      8,727      North America
70                     Uruguay    1,041,111      7,664      South America
71                    Mongolia    1,011,496      2,284               Asia
72                       Nepal    1,003,450     12,031               Asia
73                     Belarus      994,037      7,118             Europe
74                      Latvia      982,505      6,715             Europe
75                Saudi Arabia      841,469      9,646               Asia
76                    Paraguay      837,602     20,155      South America
77                  Azerbaijan      835,234     10,400               Asia
78                     Bahrain      729,549      1,574               Asia
79                      Cyprus      681,110      1,365               Asia
80          Dominican Republic      675,890      4,384      North America
81                   Sri Lanka      672,754     16,897               Asia
82                      Kuwait      667,158      2,570               Asia
83                     Myanmar      641,873     19,495               Asia
84                     Moldova      635,145     12,218             Europe
85                     Estonia      628,070      3,001             Europe
86          State of Palestine      621,008      5,404               Asia
87                   Venezuela      552,695      5,856      South America
88                       Egypt      516,023     24,613             Africa
89                       Qatar      514,524        690               Asia
90                       Libya      507,274      6,437             Africa
91                       China      503,302      5,272               Asia
92                    Ethiopia      501,157      7,574             Africa
93                     Réunion      494,595        921             Africa
94                    Honduras      474,590     11,165      North America
95                     Armenia      451,831      8,777               Asia
96      Bosnia and Herzegovina      403,615     16,388             Europe
97                        Oman      399,449      4,628               Asia
98                  Luxembourg      391,232      1,232             Europe
99             North Macedonia      350,567      9,976             Europe
100                     Zambia      349,304      4,069             Africa
101                      Kenya      344,130      5,689             Africa
102                     Brunei      343,719        225               Asia
103                    Albania      334,863      3,605             Europe
104                   Botswana      330,638      2,801             Africa
105                 Montenegro      296,542      2,846             Europe
106                    Algeria      272,010      6,881             Africa
107                    Nigeria      267,188      3,155             Africa
108                   Zimbabwe      266,359      5,740             Africa
109                 Uzbekistan      253,662      1,637               Asia
110                Afghanistan      234,174      7,996               Asia
